('episode:', 2500, ' /move_cnt:', 2279, ' / rnd:', 2275, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 1.022410663128145), (u'average_loss', 0.05281651100452132)], ' / epsilon:', 0.99733141)
('episode:', 2600, ' /move_cnt:', 2381, ' / rnd:', 2378, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 0.9980311493530981), (u'average_loss', 0.05834308426245697)], ' / epsilon:', 0.99722314)
('episode:', 2700, ' /move_cnt:', 2359, ' / rnd:', 2350, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.0579001960361056), (u'average_loss', 0.06030134882041278)], ' / epsilon:', 0.99711883)
('episode:', 2800, ' /move_cnt:', 2396, ' / rnd:', 2384, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 1.0474915547640777), (u'average_loss', 0.06320361632184522)], ' / epsilon:', 0.99700894)
('episode:', 2900, ' /move_cnt:', 2351, ' / rnd:', 2347, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.0618932825181493), (u'average_loss', 0.05979522484907467)], ' / epsilon:', 0.99690328)
('episode:', 3000, ' /move_cnt:', 2305, ' / rnd:', 2297, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.055482224268834), (u'average_loss', 0.05659105459854499)], ' / epsilon:', 0.99680149)
('episode:', 3100, ' /move_cnt:', 2318, ' / rnd:', 2312, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.0620175550484843), (u'average_loss', 0.058720614726500246)], ' / epsilon:', 0.99669664)
('episode:', 3200, ' /move_cnt:', 2195, ' / rnd:', 2187, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 56, ' / statistics:', [(u'average_q', 1.1056733632336977), (u'average_loss', 0.06879490529269809)], ' / epsilon:', 0.9965971)
('episode:', 3300, ' /move_cnt:', 2225, ' / rnd:', 2217, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.0857365462314017), (u'average_loss', 0.07037924273599268)], ' / epsilon:', 0.99649738)
('episode:', 3400, ' /move_cnt:', 2411, ' / rnd:', 2400, ' / miss:', 4, ' / win:', 96, ' / p1Winner:', 55, ' / statistics:', [(u'average_q', 1.0709499711558008), (u'average_loss', 0.06755814512190053)], ' / epsilon:', 0.99638848)
('episode:', 3500, ' /move_cnt:', 2375, ' / rnd:', 2371, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 1.0806116607189262), (u'average_loss', 0.06330661495604215)], ' / epsilon:', 0.99628156)
('episode:', 3600, ' /move_cnt:', 2638, ' / rnd:', 2631, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 40, ' / statistics:', [(u'average_q', 1.1113302913878087), (u'average_loss', 0.063418419034249)], ' / epsilon:', 0.99616366)
('episode:', 3700, ' /move_cnt:', 2391, ' / rnd:', 2380, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 48, ' / statistics:', [(u'average_q', 1.1273084251548269), (u'average_loss', 0.06653712496348559)], ' / epsilon:', 0.99605611)
('episode:', 3800, ' /move_cnt:', 2368, ' / rnd:', 2353, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 1.067178041239699), (u'average_loss', 0.06863975740866127)], ' / epsilon:', 0.99594973)
