('episode:', 100, ' /move_cnt:', 2407, ' / rnd:', 2392, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 0.4199952840174093), (u'average_loss', 0.03821348215525827)], ' / epsilon:', 0.989182)
('episode:', 200, ' /move_cnt:', 2323, ' / rnd:', 2287, ' / miss:', 10, ' / win:', 90, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 0.7582520882841166), (u'average_loss', 0.04656139981798339)], ' / epsilon:', 0.978778)
('episode:', 300, ' /move_cnt:', 2128, ' / rnd:', 2070, ' / miss:', 13, ' / win:', 87, ' / p1Winner:', 35, ' / statistics:', [(u'average_q', 0.9069174125554454), (u'average_loss', 0.054098038706535546)], ' / epsilon:', 0.969247)
('episode:', 400, ' /move_cnt:', 2025, ' / rnd:', 1943, ' / miss:', 20, ' / win:', 80, ' / p1Winner:', 33, ' / statistics:', [(u'average_q', 0.9554946538481582), (u'average_loss', 0.05826869934309623)], ' / epsilon:', 0.959923)
('episode:', 500, ' /move_cnt:', 2148, ' / rnd:', 2051, ' / miss:', 16, ' / win:', 84, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 0.9231057205237552), (u'average_loss', 0.055829435307065696)], ' / epsilon:', 0.950491)
('episode:', 600, ' /move_cnt:', 2217, ' / rnd:', 2097, ' / miss:', 21, ' / win:', 79, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 0.930133878737131), (u'average_loss', 0.05831460904250697)], ' / epsilon:', 0.940564)
('episode:', 700, ' /move_cnt:', 2221, ' / rnd:', 2077, ' / miss:', 26, ' / win:', 74, ' / p1Winner:', 37, ' / statistics:', [(u'average_q', 0.9086537065251082), (u'average_loss', 0.053757788803719855)], ' / epsilon:', 0.930241)
('episode:', 800, ' /move_cnt:', 2222, ' / rnd:', 2063, ' / miss:', 21, ' / win:', 79, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 0.8567186239117741), (u'average_loss', 0.05618071378458324)], ' / epsilon:', 0.920215)
('episode:', 900, ' /move_cnt:', 2147, ' / rnd:', 1974, ' / miss:', 25, ' / win:', 75, ' / p1Winner:', 34, ' / statistics:', [(u'average_q', 0.827899116529455), (u'average_loss', 0.056114433164745015)], ' / epsilon:', 0.910531)
('episode:', 1000, ' /move_cnt:', 2049, ' / rnd:', 1860, ' / miss:', 20, ' / win:', 80, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 0.8009926480216486), (u'average_loss', 0.05806140065965273)], ' / epsilon:', 0.9013599999999999)
('episode:', 1100, ' /move_cnt:', 2225, ' / rnd:', 2016, ' / miss:', 17, ' / win:', 83, ' / p1Winner:', 40, ' / statistics:', [(u'average_q', 0.7774716819112498), (u'average_loss', 0.055084928762635495)], ' / epsilon:', 0.891631)
('episode:', 1200, ' /move_cnt:', 2240, ' / rnd:', 1991, ' / miss:', 14, ' / win:', 86, ' / p1Winner:', 40, ' / statistics:', [(u'average_q', 0.7780633205757791), (u'average_loss', 0.060211742552011845)], ' / epsilon:', 0.8812989999999999)
('episode:', 1300, ' /move_cnt:', 2184, ' / rnd:', 1921, ' / miss:', 18, ' / win:', 82, ' / p1Winner:', 43, ' / statistics:', [(u'average_q', 0.7807776095622534), (u'average_loss', 0.05051626789864691)], ' / epsilon:', 0.871498)
('episode:', 1400, ' /move_cnt:', 2110, ' / rnd:', 1838, ' / miss:', 19, ' / win:', 81, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 0.756013585640042), (u'average_loss', 0.05537988769993218)], ' / epsilon:', 0.862012)
